Location,Year,Month,Day,Avg_Temp,Precip_in,Humidity,Ref
West_SJ,2011,3,30,28.000000000000004,0.21,76.872507,0
West_SJ,2011,3,31,28.000000000000004,0.0,68.072042,0
West_SJ,2011,4,1,30.0,0.0,66.8917981498847,0
West_SJ,2011,4,2,28.500000000000007,0.0,63.886325,0
West_SJ,2011,4,3,28.000000000000004,0.0,65.74351,0
West_SJ,2011,4,4,26.999999999999996,0.0,69.84600499999999,0
West_SJ,2011,4,5,25.0,0.0,78.63620499999999,0
West_SJ,2011,4,6,27.5,0.0,72.0062445,0
West_SJ,2011,4,7,26.999999999999996,0.0,67.6235625,0
West_SJ,2011,4,8,25.500000000000004,0.15,71.4596405,0
West_SJ,2011,4,9,26.0,0.0,65.32855,0
West_SJ,2011,4,10,26.499999999999996,0.0,65.4327075,0
West_SJ,2011,4,11,26.0,0.11,65.32855,0
West_SJ,2011,4,12,26.0,0.0,73.9485,0
West_SJ,2011,4,13,25.833333333333336,0.24,76.43729844622737,0
West_SJ,2011,4,14,25.27777777777778,0.24100156238617984,77.55775183724673,0
West_SJ,2011,4,15,26.499999999999996,0.04,76.367962,0
West_SJ,2011,4,16,26.0,0.1,69.52137,0
West_SJ,2011,4,17,25.555555555555557,0.0,78.34570910458712,0
West_SJ,2011,4,18,26.499999999999996,0.0,65.4327075,0
West_SJ,2011,4,19,25.500000000000004,0.01,74.4303875,0
West_SJ,2011,4,20,27.5,0.06,67.717205,0
West_SJ,2011,4,21,25.555555555555557,0.0,75.97917764269727,0
West_SJ,2011,4,22,26.499999999999996,0.0,71.82938,0
West_SJ,2011,4,23,26.499999999999996,0.0,69.615815,0
West_SJ,2011,4,24,26.999999999999996,0.0,69.71026,0
West_SJ,2011,4,25,28.500000000000007,0.0,67.9230175,0
West_SJ,2011,4,26,26.500000000000004,0.32,78.8587725,0
West_SJ,2011,4,27,26.000000000000007,0.28,81.434338,0
West_SJ,2011,4,28,26.999999999999996,0.43,65.758927,0
West_SJ,2011,4,29,26.500000000000004,0.0,65.569229,0
West_SJ,2011,4,30,26.499999999999996,0.0,71.91260199999999,0
West_SJ,2011,5,1,25.500000000000004,0.13,83.675243,0
West_SJ,2011,5,2,27.5,1.5,76.43832699999999,0
West_SJ,2011,5,3,26.999999999999996,0.02,74.2592625,0
West_SJ,2011,5,4,26.499999999999996,0.0,74.16562,0
West_SJ,2011,5,5,25.555555555555557,0.0,83.5554575471829,0
West_SJ,2011,5,6,26.0,0.0,63.343975,0
West_SJ,2011,5,7,26.0,0.0,65.457607,0
West_SJ,2011,5,8,26.999999999999996,0.0,65.664482,0
West_SJ,2011,5,9,27.5,0.0,69.929227,0
